    Step    Atoms         KinEng            CPU         Volume 
  150001     1005  2.3338009e-06              0          0.011 
  193001     1005  8.1960917e-07  4.3085364e-06          0.011      833.91573 
    Step    Atoms         KinEng            rke         Volume       heattran 
  193001     1005  8.1960917e-07  4.3085364e-06          0.011      840.47342 
  193501     1005  7.3539116e-07  3.8443384e-06          0.011      833.91839 
    Step    Atoms         KinEng            rke         Volume       heattran 
  193501     1005  7.3539116e-07  3.8443384e-06          0.011      840.47342 
  194000     1005  6.4588285e-07  3.3913492e-06          0.011      833.93397 
  194001     1005  6.4570123e-07  3.3904536e-06          0.011      833.92087 
    Step    Atoms         KinEng            rke         Volume       heattran 
  194001     1005  6.4570123e-07  3.3904536e-06          0.011      840.47342 
  194501     1005  5.5770326e-07  2.9482366e-06          0.011      833.92316 
    Step    Atoms         KinEng            rke         Volume       heattran 
  194501     1005  5.5770326e-07  2.9482366e-06          0.011      840.47342 
  195000     1005  4.7684821e-07  2.5204005e-06          0.011      833.93837 
  195001     1005  4.7669056e-07  2.5195618e-06          0.011      833.92527 
    Step    Atoms         KinEng            rke         Volume       heattran 
  195001     1005  4.7669056e-07  2.5195618e-06          0.011      840.47342 
  195501     1005  3.9880301e-07  2.1124968e-06          0.011      833.92722 
    Step    Atoms         KinEng            rke         Volume       heattran 
  195501     1005  3.9880301e-07  2.1124968e-06          0.011      840.47342 
  196000     1005   3.243109e-07  1.7332928e-06          0.011       833.9421 
  196001     1005  3.2416773e-07  1.7325615e-06          0.011      833.92901 
    Step    Atoms         KinEng            rke         Volume       heattran 
  196001     1005  3.2416773e-07  1.7325615e-06          0.011      840.47342 
  196501     1005  2.5656036e-07  1.3824756e-06          0.011      833.93064 
    Step    Atoms         KinEng            rke         Volume       heattran 
  196501     1005  2.5656036e-07  1.3824756e-06          0.011      840.47342 
  197000     1005  1.9635127e-07  1.0671337e-06          0.011      833.94521 
  197001     1005  1.9623698e-07   1.066539e-06          0.011      833.93213 
    Step    Atoms         KinEng            rke         Volume       heattran 
  197001     1005  1.9623698e-07   1.066539e-06          0.011      840.47342 
  197501     1005   1.424637e-07  7.8911176e-07          0.011      833.93347 
    Step    Atoms         KinEng            rke         Volume       heattran 
  197501     1005   1.424637e-07  7.8911176e-07          0.011      840.47342 
  198000     1005  9.6556011e-08  5.5340528e-07          0.011      833.94776 
  198001     1005  9.6472687e-08   5.529758e-07          0.011      833.93468 
    Step    Atoms         KinEng            rke         Volume       heattran 
  198001     1005  9.6472687e-08   5.529758e-07          0.011      840.47342 
  198501     1005  6.1460221e-08  3.3661852e-07          0.011      833.93577 
    Step    Atoms         KinEng            rke         Volume       heattran 
  198501     1005  6.1460221e-08  3.3661852e-07          0.011      840.47342 
  199000     1005  1.8416107e-08  1.3897102e-07          0.011      833.94982 
  199001     1005  1.8349701e-08   1.386408e-07          0.011      833.93674 
    Step    Atoms         KinEng            rke         Volume       heattran 
  199001     1005  1.8349701e-08   1.386408e-07          0.011      840.47342 
  199501     1005  6.4455163e-10  6.0003506e-08          0.011      833.93761 
    Step    Atoms         KinEng            rke         Volume       heattran 
  199501     1005  6.4455163e-10  6.0003506e-08          0.011      840.47342 
  200000     1005  1.4292841e-08  9.4399808e-08          0.011      833.95151 
  200001     1005  1.4305096e-08  9.4425275e-08          0.011      833.93844 
    Step    Atoms         KinEng            rke         Volume       heattran 
  200001     1005  1.4305096e-08  9.4425275e-08          0.011      840.47342 
  200501     1005  1.4448829e-08  1.6900051e-07          0.011      833.93911 
    Step    Atoms         KinEng            rke         Volume       heattran 
  200501     1005  1.4448829e-08  1.6900051e-07          0.011      840.47342 
  201000     1005  3.7045348e-08  2.8096008e-07          0.011      833.95275 
  201001     1005  3.7110552e-08  2.8123734e-07          0.011      833.93969 
    Step    Atoms         KinEng            rke         Volume       heattran 
  201001     1005  3.7110552e-08  2.8123734e-07          0.011      840.47342 
  201501     1005  7.3650731e-08  4.4394374e-07          0.011      833.94018 
    Step    Atoms         KinEng            rke         Volume       heattran 
  201501     1005  7.3650731e-08  4.4394374e-07          0.011      840.47342 
  202000     1005  1.0619384e-07   6.600386e-07          0.011      833.95367 
  202001     1005   1.062671e-07   6.605141e-07          0.011      833.94061 
    Step    Atoms         KinEng            rke         Volume       heattran 
  202001     1005   1.062671e-07   6.605141e-07          0.011      840.47342 
  202501     1005  1.5166611e-07  9.1444089e-07          0.011      833.94096 
    Step    Atoms         KinEng            rke         Volume       heattran 
  202501     1005  1.5166611e-07  9.1444089e-07          0.011      840.47342 
  203000     1005  2.0633721e-07  1.2054649e-06          0.011      833.95431 
  203001     1005  2.0644805e-07  1.2060895e-06          0.011      833.94125 
    Step    Atoms         KinEng            rke         Volume       heattran 
  203001     1005  2.0644805e-07  1.2060895e-06          0.011      840.47342 
  203501     1005  2.6410818e-07  1.5364069e-06          0.011      833.94149 
    Step    Atoms         KinEng            rke         Volume       heattran 
  203501     1005  2.6410818e-07  1.5364069e-06          0.011      840.47342 
  204000     1005  3.3028763e-07  1.8957036e-06          0.011      833.95474 
  204001     1005  3.3042682e-07  1.8964514e-06          0.011      833.94168 
    Step    Atoms         KinEng            rke         Volume       heattran 
  204001     1005  3.3042682e-07  1.8964514e-06          0.011      840.47342 
  204501     1005  4.0060717e-07  2.2846849e-06          0.011      833.94183 
    Step    Atoms         KinEng            rke         Volume       heattran 
  204501     1005  4.0060717e-07  2.2846849e-06          0.011      840.47342 
  205000     1005  4.7314496e-07  2.6967442e-06          0.011        833.955 
  205001     1005  4.7329652e-07  2.6975885e-06          0.011      833.94194 
    Step    Atoms         KinEng            rke         Volume       heattran 
  205001     1005  4.7329652e-07  2.6975885e-06          0.011      840.47342 
  205501     1005  5.5215097e-07  3.1270251e-06          0.011      833.94202 
    Step    Atoms         KinEng            rke         Volume       heattran 
  205501     1005  5.5215097e-07  3.1270251e-06          0.011      840.47342 
  206000     1005  6.3319704e-07  3.5690706e-06          0.011      833.95514 
  206001     1005  6.3335888e-07  3.5699683e-06          0.011      833.94208 
    Step    Atoms         KinEng            rke         Volume       heattran 
  206001     1005  6.3335888e-07  3.5699683e-06          0.011      840.47342 
  206501     1005  7.1417034e-07  4.0224609e-06          0.011      833.94211 
    Step    Atoms         KinEng            rke         Volume       heattran 
  206501     1005  7.1417034e-07  4.0224609e-06          0.011      840.47342 
  207000     1005  7.9611201e-07  4.4765987e-06          0.011      833.95519 
  207001     1005  7.9627787e-07  4.4775074e-06          0.011      833.94212 
    Step    Atoms         KinEng            rke         Volume       heattran 
  207001     1005  7.9627787e-07  4.4775074e-06          0.011      840.47342 
  207501     1005  8.7916943e-07   4.929542e-06          0.011      833.94212 
    Step    Atoms         KinEng            rke         Volume       heattran 
  207501     1005  8.7916943e-07   4.929542e-06          0.011      840.47342 
  208000     1005  9.6010487e-07  5.3734647e-06          0.011      833.95527 
  208001     1005  9.6026419e-07   5.374344e-06          0.011      833.94221 
    Step    Atoms         KinEng            rke         Volume       heattran 
  208001     1005  9.6026419e-07   5.374344e-06          0.011      840.47342 
  208501     1005  1.0383895e-06  5.8068129e-06          0.011      833.94218 
    Step    Atoms         KinEng            rke         Volume       heattran 
  208501     1005  1.0383895e-06  5.8068129e-06          0.011      840.47342 
  209000     
